Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,point
Queens,Astoria (Central),N/W Corner of 31 Dr and Crescent St (on Crescent St.),N/W Corner of 31 Dr and Crescent St (on Crescent St.),Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76439,-73.92761,114,454,POINT (-73.927610000531 40.7643899999001)
Bronx,Crotona Park East,Bronx River House / Starlight Park,1490 Sheridan Blvd,Bronx River Alliance,Year Round,Fridays (Start Time: 9:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",www.bronxriver.org,209,17,157,2030190100,2128943,40.8328527,-73.8830803,43,589,POINT (-73.8830802997668 40.8328526997964)
Queens,Queensbridge-Ravenswood-Dutch Kills,Socrates Sculpture Park,"Broadway & Vernon Blvd, Queens, NY 11106",Socrates Sculpture Park,Year Round,Every day (Start Time: 9:00 AM - End Time:  Dusk),"Not accepted: meat, bones, or dairy",socratessculpturepark.org,401,26,,,,40.768389,-73.937,114,473,POINT (-73.9369999996804 40.7683890002617)
Brooklyn,East New York (North),East New York Farms: St. John Community Garden,"474 New Jersey Ave, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",ucceny.org/enyf-old/compost/,305,42,,,,40.6676529,-73.8940832,75,501,POINT (-73.8940831999447 40.6676528997684)
Manhattan,Washington Heights (South),Morris-Jumel Community Garden,457 West 162nd Street,NYC Compost Project Hosted by Earth Matter NY,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",,112,10,24301,1021100058,1000000,40.8359312,-73.9391906,33,533,POINT (-73.9391906002763 40.835931200116)
Brooklyn,Crown Heights (North),1100 Bergen Street Community Garden,"1107 Bergen Street, Brooklyn, NY 11216",Volunteers at 1100 Bergen Street Community Garden,Year Round,Sundays (Start Time: 10:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",https://bqlt.org/garden/1100-block-bergen-st-community-garden,308,36,,,,40.67629,-73.94925,77,518,POINT (-73.9492500004763 40.6762899996456)
Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,Vinegar Hill Community Garden,"199 York St, Brooklyn, NY 11201",Members of Vinegar Hill Community Garden,Year Round,Sundays (Start Time: 11:30 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://groundcycle.org/,302,33,,,,40.701501,-73.98263,84,565,POINT (-73.9826300005707 40.7015010002969)
Queens,Astoria (Central),32 St between 31 Ave and 30 Ave,32 St between 31 Ave and 30 Ave,Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76521,-73.92155,114,449,POINT (-73.9215499994451 40.765210000039)
Manhattan,Financial District-Battery Park City,SmartComposting: Cedar & William Streets,Cedar and William Streets (Northeast corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.70739,-74.00853,1,430,POINT (-74.0085300001144 40.707390000298)
Brooklyn,Bensonhurst,Bensonhurst Greenmarket,18th Ave btwn 81st & 82nd Streets,GrowNYC,Year Round,Sundays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,311,47,,,,40.609644,-73.999683,62,546,POINT (-73.9996829997282 40.6096439997992)
Queens,Astoria (East)-Woodside (North),Astoria Pug: Steinway,"38-12 30th Ave, Queens, NY 11103",Astoria Pug,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/astoriapug/?hl=en,401,22,,,,40.764056,-73.915722,114,469,POINT (-73.9157219999591 40.7640560002431)
Queens,South Jamaica,Paradise Garden,"107-31 Inwood St, Queens, NY 11435",Paradise Garden,July-December,Wednesdays (Start Time: 11:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",,412,28,,,,40.69056,-73.80395,103,629,POINT (-73.803950000261 40.6905599995591)
Manhattan,Chelsea-Hudson Yards,Hudson River Park's Chelsea Waterside Park at W. 23rd St.,Chelsea Waterside Park near the playground,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,,,,40.7489842,-74.0071142,10,513,POINT (-74.0071142004945 40.7489842001378)
Bronx,University Heights (South)-Morris Heights,*CLOSED FOR THE SEASON* Francis Martin Library,"2150 University Avenue Bronx, NY 10453",,Year Round,Monday (Start Time: 12:00 PM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://www.nypl.org/locations/francis-martin,205,14,,,,40.8575626,-73.909437,46,601,POINT (-73.9094369999175 40.8575626004339)
Manhattan,West Village,Hudson River Park's Pier 51 at Horatio St.,Pier 51 at Horatio St. near playground,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,3,,,,40.738228,-74.0104549,6,508,POINT (-74.0104548996647 40.7382280000623)
Brooklyn,Madison,Kings Highway and East 16th Street,"Kings Highway and East 16th Street, northeast corner",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,315,48,,,,40.60927,-73.9573422,61,569,POINT (-73.9573422005529 40.6092699999054)
Manhattan,Chelsea-Hudson Yards,Hudson River Park's Pier 76 at W. 34th St.,Pier 76 at 34th Street and 12th Ave outside of compost yard South of 34th St,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,,,,40.756032,-74.006046,10,514,POINT (-74.0060460005446 40.756031999757)
Manhattan,Midtown South-Flatiron-Union Square,Madison Square Park Food Scrap Drop-off,23rd St & Broadway,GrowNYC,Year Round,Wednesdays (Start Time: 8:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,105,2,,,,40.741669,-73.988969,13,537,POINT (-73.9889690004535 40.7416690000417)
Staten Island,Port Richmond,West Brighton,Chappell Street and Henderson Avenue,Snug Harbor Youth,Year Round,Fridays (Start Time: 4:00 PM - End Time:  5:30 PM),"Not accepted: meat, bones, or dairy",snug-harbor.org,501,49,13301,,,40.636758,-74.119727,120,640,POINT (-74.1197270000273 40.6367580000727)
Manhattan,Financial District-Battery Park City,Bowling Green Greenmarket,"Broadway at Battery Place, New York, NY 10004",NYC Compost Project Hosted by Earth Matter NY,Year Round,Tuesdays (Start Time: 8:00 AM - End Time:  11:00 AM),,,101,1,,,,40.7046367,-74.0137794,1,437,POINT (-74.0137794001817 40.7046366996466)
Queens,Long Island City-Hunters Point,Smiling Hogshead Ranch,"Pearson Pl & Skillman Ave, Queens, NY 11101",Volunteers at Smiling Hogshead Ranch,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),,smilinghogsheadranch.org,402,26,,,,40.7432328,-73.9431336,108,476,POINT (-73.9431335995853 40.743232799831)
Bronx,Kingsbridge-Marble Hill,Spuyten Duyvil PreSchool,3041 Kingsbridge Avenue,Spuyten Duyvil PreSchool,September - June,Fridays (Start Time: 8:00 AM - End Time:  12:00 PM),"Remove all plastic, stickers and zip ties before dropping off food scraps. Not accepted: meat, bones, or dairy",www.spuytenduyvilpreschool.org,208,11,289,2057090046,2083194,40.879247,-73.90727,50,610,POINT (-73.9072700000732 40.879247000368)
Bronx,Riverdale-Spuyten Duyvil,*CLOSED FOR THE SEASON* Riverdale Y Sunday Market at Riverdale Temple,4545 Independence Ave,Riverdale Y Sunday Market Volunteers,April - December 19th 2021,Sundays (Start Time: 11:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",,208,11,309,2059200456,2088698,40.8918241,-73.912916,50,608,POINT (-73.912915999971 40.8918240999831)
Brooklyn,Brownsville,*CLOSED FOR THE SEASON* Iso Student Farm,"514 Rockaway Avenue, Brooklyn, NY 11212",Volunteers at Isabahlia LOE Foundation,"Seasonal, April-October",Fridays and Saturdays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://www.isabahlialoefinc.org/,316,41,,,,40.6674207,-73.9102833,73,494,POINT (-73.9102833005452 40.667420699743)
Brooklyn,Flatbush,Flatbush Junction Food Scrap Drop-off,Hillel Pl & Flatbush Ave,GrowNYC,Year Round,Fridays (Start Time: 8:30 AM - End Time:  2:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,314,45,,,,40.632583,-73.948111,70,597,POINT (-73.9481110004429 40.6325830003814)
Queens,Jackson Heights,JH Scraps,"35-20 69th Street, Jackson Heights, NY 11372",Volunteers at JH Scraps,Year Round,Saturdays (Start Time: 11:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://www.jhbg.org/2020/07/28/jh-scraps-reopens,402,26,,,,40.750278,-73.89678,115,481,POINT (-73.8967799999324 40.7502779996208)
Bronx,Mott Haven-Port Morris,Padre Plaza Community Garden,"541 E 139th St, Bronx, NY 10454",Padre Plaza Community Garden,Year Round,Mondays and Wednesdays (Start Time: 12:00 PM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",,201,8,,,,40.8079687,-73.917581,40,578,POINT (-73.9175810004213 40.8079686999542)
Queens,Old Astoria-Hallets Point,S/W corner of 31 Ave and 23 st (on 23rd St.),S/W corner of 31 Ave and 23 st (on 23rd St.),Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76662,-73.92873,114,462,POINT (-73.9287300004178 40.76662000038)
Staten Island,Port Richmond,Venture House,"1442 Castleton Avenue, 10302",Snug Harbor Youth,Year Round,Fridays (Start Time: 10:30 AM - End Time:  2:30 PM),"Not accepted: meat, bones, or dairy",snug-harbor.org,501,49,207,5010300069,5106982,40.634203,-74.131071,121,625,POINT (-74.1310709994375 40.6342030000897)
Brooklyn,Ocean Hill,Phoenix Community Garden,"36 Somers Street, Brooklyn, NY 11233",Phoenix Community Garden,March - November,Saturdays (Start Time: 11:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",https://www.phoenixcommunitygarden.org/,316,41,,,,40.6785,-73.912,73,493,POINT (-73.9119999996553 40.6785000001347)
Queens,Astoria (North)-Ditmars-Steinway,Astoria Pug: 41st Street,Ditmars Boulevard and 41st Street,Astoria Pug,Year Round,Mondays (Start Time: 8:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/astoriapug/?hl=en,401,22,119,,,40.7724122,-73.9053388,114,466,POINT (-73.905338799907 40.7724121997986)
Queens,Astoria (Central),S/E Corner of 31 Ave and 29 St,S/E Corner of 31 Ave and 29 St,Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76492,-73.92493,114,451,POINT (-73.9249299999826 40.7649200003766)
Brooklyn,Marine Park-Mill Basin-Bergen Beach,Genovesi Environmental Study Center,"7151 Avenue T, Brooklyn, NY 11234",Genovesi Environmental Study Center,Year Round,Monday-Friday (Start Time: 9:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",https://www.schools.nyc.gov/learning/student-journey/experiential-learning/genovesi-environmental-study-center,318,46,,,,40.6221465,-73.9084944,63,620,POINT (-73.9084943999466 40.6221464995925)
Brooklyn,East Flatbush-Erasmus,Rogers / Tilden / Veronica Place Garden,"2601 - 2603 Tilden Avenue, Brooklyn 11226",Rogers / Tilden / Veronica Place Garden,Year Round,Saturdays (Start Time: 10:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",,317,40,,,,40.6472062,-73.9526235,67,598,POINT (-73.952623500202 40.6472061998365)
Bronx,Mount Eden-Claremont (West),New Settlement- 170 Farm Stand,New Settlement Community Center 1501 Jerome Ave.,New Settlement- 170 Farm Stand,July 14th-November 24th,Wednesdays (Start Time: 2:30 PM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",http://www.newsettlementcommunitycenter.org/,204,16,,,,40.840005,-73.916636,44,583,POINT (-73.9166359995556 40.8400050001687)
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Gowanus Salt Lot,"2 2nd Ave, Brooklyn, NY 11215",NYC Compost Project Hosted by Big Reuse,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://www.bigreuse.org/service/compost/,306,39,,,,40.67541,-73.99128,78,524,POINT (-73.9912799998153 40.6754100003442)
Manhattan,Tribeca-Civic Center,SmartComposting: Broadway & Park Place,Broadway and Park Place (Northwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.712653,-74.007723,1,438,POINT (-74.0077229997684 40.7126529998285)
Queens,Forest Hills,Forest Hills Greenmarket,MacDonald Park: Queens Blvd and 70th Ave,GrowNYC and the Forest Hills Green Team,Year Round,Sundays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,406,29,,,,40.721268,-73.846877,112,615,POINT (-73.846876999672 40.7212679997165)
Manhattan,East Harlem (North),Carver Community Garden,242 East 124th,Carver Community Garden,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",,111,8,194,1017880030,1000000,40.802223,-73.934723,25,571,POINT (-73.9347229999538 40.8022229998321)
Queens,South Jamaica,Discovery Community Garden,"108-56 Union Hall St, Jamaica, NY 11433",NYC Compost Project Hosted by Big Reuse,Year Round,Wednesdays (Start Time: 1:00 PM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",,412,28,,,,40.6944987,-73.7913159,103,630,POINT (-73.791315899546 40.6944987003266)
Bronx,Morrisania,Morrisania Farmstand,McKinley Square at 169th St & Boston Rd,GrowNYC,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,203,16,,,,40.831187,-73.900567,42,588,POINT (-73.9005670004378 40.8311869999017)
Brooklyn,East New York-New Lots,East New York Farms: UCC Youth Farm,613 New Lots Avenue,East New York Farms,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://ucceny.org/enyf/,305,42,1124,3040890025,3090717,40.66547,-73.88668,75,498,POINT (-73.8866799999475 40.6654700000661)
Queens,Corona,Corona Greenmarket,"Roosevelt Ave at 103 Street, Queens",GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,404,21,,,,40.749728,-73.862513,110,593,POINT (-73.8625130005455 40.7497279998027)
Queens,Astoria (Central),PS 17 Wellness Council & Q300 Green Team,"28-37 29th Street, Queens, NY, 11102",Volunteers at PS17,September - June,Mondays (Start Time: 1:30 PM - End Time:  3:30 PM),"Not accepted: meat, bones, or dairy",https://www.ps17queens.com/,401,22,,,,40.767878,-73.923199,114,461,POINT (-73.9231989995624 40.7678779996013)
Brooklyn,Bushwick (East),Moffat Street Community Garden,"9 Moffat St, Brooklyn, NY 11207",Moffat St Community Garden,Year Round,Saturdays (Start Time: 10:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",,304,37,,,,40.6843647,-73.9107326,83,556,POINT (-73.9107325994562 40.6843647000848)
Queens,Jackson Heights,Jackson Heights Greenmarket,79th St and Northern Blvd,GrowNYC,Year Round,Sundays (Start Time: 8:30 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,403,25,285,,,40.753687,-73.886999,115,483,POINT (-73.8869990003369 40.7536869995864)
Queens,Astoria (Central),"S/E Corner of 38 St & 31 Avenue, on 38 St","S/E Corner of 38 St & 31 Avenue, on 38 St",Department of Sanitation,Year Round,24/8,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76167,-73.918037,114,455,POINT (-73.9180369994508 40.7616699997962)
Queens,Astoria (East)-Woodside (North),Moore-Jackson Cemetery/Garden,"51st Street between 31st and 32nd Avenue, Woodside, NY 11377",Members at Moore-Jackson Garden,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/MooreJacksonNYC/,401,26,,,,40.756149,-73.907915,114,470,POINT (-73.9079150005437 40.7561490002086)
Brooklyn,Crown Heights (South),Crown Heights Farmstand,Nostrand Ave & Crown St,GrowNYC,Year Round,Fridays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,309,35,,,,40.666485,-73.950935,71,529,POINT (-73.9509349999122 40.6664849999595)
Brooklyn,Williamsburg,McCarren Park Greenmarket,N 12th St and Driggs Ave,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,301,33,515,,,40.71974,-73.953394,94,561,POINT (-73.9533940002726 40.7197399997982)
Brooklyn,Bay Ridge,Bay Ridge Greenmarket,3rd Ave & 95th Street,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,310,43,,,,40.6174,-74.033703,68,566,POINT (-74.0337029997309 40.6174000002385)
Staten Island,St. George-New Brighton,H.E.A.L.T.H for Youths Skyline Community Garden,1 Clyde Place,H.E.A.L.T.H for Youths Skyline Community Garden,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",www.health4youths.org,501,49,77,,,40.639901,-74.0902865,120,635,POINT (-74.0902864997986 40.6399009997932)
Bronx,Bedford Park,*CLOSED FOR THE SEASON* James Baldwin Outdoor Learning Center,"100 W Mosholu Pkwy S, The Bronx, NY 10468",Volunteers at James Baldwin Outdoor Learning Center,Spring - Fall,Saturdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Site entrance is on the Goulden Ave side of campus. Not accepted: meat, bones, or dairy",https://www.jamesbaldwinoutdoorlearningcenter.org/,207,11,,,,40.88207,-73.88825,52,603,POINT (-73.8882499998269 40.8820700003964)
Brooklyn,Sunset Park (West),Los Colibríes Community Garden,"219 34th Street, Brooklyn 11232",Los Colibríes Community Garden,Year Round,Sundays (Start Time: 11:00 AM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/jardin34/,307,38,,,,40.6547305,-74.0018481,72,544,POINT (-74.0018480996788 40.6547304995568)
Manhattan,Financial District-Battery Park City,SmartComposting: Bowling Green (South),Bowling Green (inside south entrance),Alliance for Downtown New York,Year Round,"6 am ? 7:30, or when park gates are open","Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,13,,,40.70477,-74.01368,1,434,POINT (-74.013679999631 40.7047699998481)
Manhattan,Upper West Side-Lincoln Square,Tucker Square Thursday Greenmarket,66th St and Columbus Ave.,GrowNYC,Year Round,Thursdays (Start Time: 8:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,107,6,149,,,40.773404,-73.981848,20,539,POINT (-73.9818479999498 40.7734040002123)
Brooklyn,East New York (North),East New York Farms: Concerned Residents of Barbey Street Community Garden,"351 Barbey St, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",ucceny.org/enyf-old/compost/,305,37,,,,40.6742335,-73.8878004,75,502,POINT (-73.8878003997242 40.674233499757)
Manhattan,Financial District-Battery Park City,SmartComposting: Maiden Lane & Pearl Street,Maiden Lane and Pearl Streets (Northwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.70688,-74.00684,1,429,POINT (-74.0068399999055 40.7068800004517)
Manhattan,Murray Hill-Kips Bay,St. Vartan Park,Near the 1st Ave. & E 36th St. entrance,Alliance for Kips Bay with PS281 Green Team and PS116 PTA,Year Round,Saturdays (Start Time: 10:00 AM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",bit.ly/StVartanCompost,106,4,,,,40.745061,-73.973126,17,551,POINT (-73.9731260003528 40.7450610004198)
Bronx,Mott Haven-Port Morris,Mott Haven Food Scrap Drop-off,545 East 142nd Street,GrowNYC,Year Round,Wednesdays (Start Time: 9:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,201,8,41,2022690021,2090354,40.809894,-73.915999,40,576,POINT (-73.9159990000285 40.8098939999251)
Queens,North Corona,Malcolm X FSDO,"111-26 Northern Blvd, Flushing, NY 11368",NYC Compost Project Hosted by Big Reuse,Year Round,Tuesdays (Start Time: 12:00 PM - End Time:  2:00 PM),,,403,21,,,,40.7578791,-73.857672,115,487,POINT (-73.8576719994729 40.7578790998769)
Queens,Astoria (Central),N/W Corner of 31 Ave and 37 St,N/W Corner of 31 Ave and 37 St,Department of Sanitation,Year Round,24/7,"Need key to access bin: sign-up at www.smartcompost.nyc/sign-up. Accepts all food scraps, inlcuding meat and dairy. Do not leave food scraps outside of bin!",www.smartcompost.nyc,401,22,,,,40.76218,-73.91872,114,444,POINT (-73.9187200005147 40.7621800001996)
Manhattan,East Village,1st Ave and 1st St,First Avenue between Houston and First Street (West Side),NYC Compost Project Hosted by LES Ecology Center,Year Round,Mondays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,2,,,,40.723183,-73.988622,9,534,POINT (-73.988622000196 40.7231829998434)
Manhattan,Chelsea-Hudson Yards,Hudson River Park Pier 66 at W 26 St,Pier 66 at W 26 St,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,,,,40.752222,-74.008278,10,512,POINT (-74.0082780004446 40.7522219999884)
Manhattan,West Village,Hudson River Park's Pier 40 at W. Houston St.,Pier 40 at Houston St. near dog park,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,3,69,1006560001,1000000,40.7298117,-74.0110087,6,507,POINT (-74.0110087003015 40.7298116999284)
Staten Island,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island Urban Center,208 Bay Street,Staten Island Urban Center,Year Round,Saturdays (Start Time: 11:00 AM - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",www.siurbancenter.org,501,49,21,5004980066,5013259,40.6369271,-74.0767091,120,639,POINT (-74.0767090998219 40.6369271001085)
Brooklyn,Greenpoint,Transmitter Park Drop-Off,2 Greenpoint Ave and West Street,North Brooklyn Compost Project,Year Round,Sundays (Start Time: 11:30 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",nbkcompost.org,301,33,,,,40.7296982,-73.9601997,94,562,POINT (-73.9601996997849 40.729698200162)
Queens,Long Island City-Hunters Point,Astoria Pug: Hunter's Point,46th Avenue and 5th Street,Astoria Pug,Year Round,Tuesdays (Start Time: 9:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/astoriapug/?hl=en,402,26,1,,,40.74777,-73.95486,108,475,POINT (-73.9548600001066 40.7477700002998)
Bronx,Riverdale-Spuyten Duyvil,Riverdale Neighborhood House,"5521 Mosholu Ave Bronx, NY 10471",Riverdale Neighborhood House,Year Round,Thursdays (Start Time: 1:00 PM - End Time:  6:00 PM),"Not accepted: meat, bones, or dairy",https://www.riverdaleonline.org/,208,11,,,,40.9035436,-73.9038447,50,607,POINT (-73.9038447002202 40.9035435998662)
Queens,Sunnyside Yards (South),Sunnyside Greenmarket,Skillman Ave between 42nd St. and 43rd St.,GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,402,26,,,,40.746948,-73.921208,108,480,POINT (-73.9212079997567 40.7469479997423)
Manhattan,Financial District-Battery Park City,SmartComposting: John & Williams Streets,John and William Streets (Northwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.70888,-74.00721,1,433,POINT (-74.0072100003209 40.7088800000573)
Brooklyn,Prospect Lefferts Gardens-Wingate,Maple Street Community Garden,"237 Maple St, Brooklyn, NY 11225",Maple Street Community Garden,Year Round,Wednesdays and Saturdays (Start Time: 10:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",www.maplestreetcommunitygarden.com,309,40,,,,40.66085,-73.95283,71,530,POINT (-73.952829999511 40.6608499997373)
